WBC,2603_507022,2588_501969,2573_668885,2559_004831,2544_506934,2530_172385,2515_99844,2501_982414,2488_121682,2474_413679,2460_855893,2447_445869,2434_181205,2421_059549,2408_078601,2395_23611,2382_529873,2369_957732,2357_517576,2345_207338,2333_024993,2320_968557,2309_03609,2297_225689,2285_535489,2273_963667,2262_508432,2251_168031,2239_940747,2228_824895,2217_818825,2206_920917,2196_129586,2185_443276,2174_860461,2164_379645,2153_999359,2143_718166,2133_534652,2123_447432,2113_455147,2103_556462,2093_750069,2084_034683,2074_409043,2064_871912,2055_422073,2046_058334,2036_779523,2027_584491,2018_472107,2009_441263,2000_490869,1991_619854,1982_827168,1974_111777,1965_472667,1956_90884,1948_419317,1940_003134,1931_659347,1923_387023,1915_18525,1907_053129,1898_989776,1890_994322,1883_065913,1875_20371,1867_406887,1859_674631,1852_006145,1844_400641,1836_857348,1829_375506,1821_954366,1814_593192,1807_291262,1800_047862,1792_862291,1785_73386,1778_66189,1771_645713,1764_684671,1757_778116,1750_925412,1744_125931,1737_379056,1730_684178,1724_040698,1717_448027,1710_905585,1704_412798,1697_969105,1691_573951,1685_226788,1678_927079,1672_674295,1666_467911,1660_307414,1654_192297,1648_12206,1642_096211,1636_114265,1630_175743,1624_280176,1618_427097,1612_61605,1606_846583,1601_118252,1595_430619,1589_78325,1584_175721,1578_607611,1573_078506,1567_587997,1562_135681,1556_721163,1551_344049,1546_003954,1540_700496,1535_433301,1530_201996,1525_006217,1519_845603,1514_719799,1509_628452,1504_571218,1499_547754,1494_557722,1489_600791,1484_676633,1479_784922,1474_92534,1470_097571,1465_301304,1460_536231,1455_802049,1451_098459,1446_425165,1441_781875,1437_168301,1432_584159,1428_029169,1423_503052,1419_005535,1414_536349,1410_095225,1405_681902,1401_296118,1396_937616,1392_606143,1388_301449,1384_023285,1379_771406,1375_545573,1371_345545,1367_171087,1363_021967,1358_897955,1354_798823,1350_724346,1346_674304,1342_648476,1338_646647,1334_668602,1330_71413,1326_783023,1322_875072,1318_990076,1315_127831,1311_288139,1307_470803,1303_675628,1299_902422,1296_150993
1.6,21.72514069,21.71350295,21.73695209,21.77243687,21.78122251,21.77622752,21.83641049,22.03331267,22.35729641,22.73445873,23.11636747,23.5179432,23.94717988,24.34484381,24.64338166,24.86704238,25.11317606,25.42344988,25.72185653,25.91404808,26.0137858,26.1171252,26.26886757,26.41679261,26.51308049,26.59533363,26.70587531,26.76650692,26.62477288,26.25090212,25.82984843,25.62394736,25.75372599,26.12924266,26.58860938,27.04150017,27.45384854,27.76501754,27.89982819,27.85806252,27.73014271,27.60878198,27.51392069,27.41433077,27.29580778,27.17629624,27.06429248,26.93675851,26.76739155,26.55543193,26.31443504,26.05150092,25.77276843,25.49376238,25.22535988,24.96028963,24.69331151,24.44020786,24.19892461,23.8976084,23.45303264,22.94137728,22.67871395,23.01842494,23.99174723,25.20745233,26.17536489,26.69339626,26.90807499,27.05605731,27.2077227,27.28419168,27.2489937,27.18426787,27.17738616,27.2096805,27.20778521,27.16207585,27.13592556,27.16979896,27.22884271,27.26101208,27.26440109,27.26848533,27.27876804,27.2795072,27.27864971,27.30495901,27.3530633,27.37143978,27.32964094,27.27029942,27.2618033,27.31048664,27.35627443,27.35562172,27.32905125,27.3128575,27.29899542,27.25710343,27.19751972,27.17010391,27.19657952,27.23799345,27.24794051,27.23094449,27.22209807,27.2274759,27.21794705,27.18269621,27.15515574,27.16964511,27.21656438,27.25844453,27.2760981,27.27777077,27.27150842,27.25738415,27.24561002,27.25572758,27.28294656,27.28551053,27.23213833,27.14802969,27.08966487,27.07575382,27.07068938,27.04478484,27.01889641,27.02830741,27.05786093,27.05109108,26.98579183,26.9080425,26.88314684,26.92463606,26.98589956,27.01027294,26.96853216,26.86309944,26.72189483,26.58506788,26.47660829,26.38615591,26.29641411,26.23448962,26.26813406,26.42707477,26.65193504,26.85497009,27.01661089,27.18195846,27.36494351,27.51051098,27.58342699,27.64125712,27.76546435,27.94027226,28.0547838,28.05028384,28.00373787,28.01728551,28.07778691,28.09122402,28.04395829,28.04040912,28.14599465,28.2662718,28.25488299,28.1163456,28.01337805,28.06369819,28.19357422,28.24708558,28.2003828
1.29,15.03038229,15.10229391,15.22894124,15.38765553,15.510564,15.58569842,15.6978884,15.93889855,16.303818,16.70816015,17.1027387,17.51873673,17.97256231,18.38860349,18.6805109,18.88592203,19.1432215,19.51910431,19.91805873,20.20486685,20.37452546,20.53201646,20.72734921,20.89594753,20.98571767,21.05815689,21.18158404,21.26666099,21.12390498,20.71713399,20.27916385,20.12623082,20.37367311,20.8687139,21.39984967,21.88988618,22.35223635,22.74669647,22.97499312,23.01081521,22.94630411,22.88513326,22.84010065,22.76508161,22.65283965,22.54862743,22.47395956,22.38634128,22.23393921,22.0185686,21.7779581,21.52968613,21.26386045,20.97782901,20.68353417,20.38335086,20.07365694,19.77494305,19.51364404,19.25312445,18.90270571,18.47518169,18.22725534,18.53310165,19.52027933,20.87307041,22.07667247,22.82759472,23.18462486,23.37597915,23.52904466,23.62200203,23.63234155,23.62162281,23.65373736,23.70466165,23.71319767,23.68512074,23.68705338,23.74681814,23.81579286,23.84578403,23.8554536,23.88810655,23.9381247,23.96709437,23.97669104,24.01020908,24.07408578,24.11022458,24.07843231,24.02715865,24.03488473,24.09815153,24.1344023,24.1021096,24.06102056,24.08081555,24.13236276,24.12773987,24.05053949,23.98332742,23.99287947,24.04015615,24.04462753,24.00219719,23.98286828,24.01854718,24.05271156,24.02605281,23.96669927,23.95149764,23.99773211,24.04077819,24.02210607,23.96209563,23.9234982,23.92844295,23.94414025,23.93505043,23.9006857,23.86205982,23.83284137,23.81571303,23.80773489,23.79605444,23.76167745,23.69929223,23.626721,23.56087368,23.49403397,23.41319355,23.33248832,23.28319737,23.26696719,23.24703125,23.20269271,23.16066924,23.1459762,23.11912091,23.00645774,22.79939784,22.57991062,22.43436058,22.37757866,22.38581732,22.46397864,22.62155983,22.79773383,22.89226638,22.90411547,22.97516495,23.22973034,23.59369898,23.8527147,23.89510696,23.82807094,23.82684975,23.92046577,23.99235782,23.9720309,23.93303098,23.96850778,24.05292523,24.0899994,24.05139134,24.00536211,24.0082511,24.03142322,24.02933516,24.02885952,24.08977474,24.19672823,24.25588722,24.20544033
1.68,17.1093447,17.11331338,17.17892657,17.30253595,17.43181402,17.5543598,17.74983175,18.11432549,18.64731101,19.25179918,19.85797502,20.49351061,21.18731372,21.86340604,22.41297606,22.86201436,23.37869235,24.07638472,24.86056064,25.52673974,25.98434613,26.3135406,26.62109808,26.92761794,27.21633077,27.50178609,27.76237565,27.8527439,27.61433037,27.11165257,26.67957038,26.67881625,27.19907138,28.02569305,28.89518413,29.70001674,30.42351842,30.98667131,31.2672499,31.25178988,31.07164975,30.8719894,30.69566523,30.50690471,30.28151015,30.02853921,29.74569955,29.40659584,28.99730657,28.52638302,27.98973822,27.36791814,26.68011247,26.00035492,25.3810475,24.79334934,24.19523921,23.62656739,23.13875883,22.61519344,21.80861461,20.72273948,19.94320252,20.37113418,22.4117577,25.48255499,28.46452194,30.57087457,31.75340335,32.41358778,32.8678822,33.15505432,33.24871855,33.24583231,33.27850372,33.35133694,33.38012295,33.35461255,33.36371846,33.45939283,33.58186696,33.65854903,33.71020708,33.80006166,33.91942146,33.99904743,34.02464713,34.06384247,34.15534785,34.23693066,34.23516059,34.18186071,34.17423025,34.23328006,34.27449541,34.23438221,34.15853978,34.12322084,34.11915862,34.07963604,33.99902521,33.94787913,33.9616359,33.98099797,33.9427461,33.87669194,33.85253745,33.86015099,33.81804361,33.70483487,33.60631883,33.59533613,33.62211338,33.58418523,33.47309714,33.37810778,33.3441773,33.30292244,33.1806776,33.01546278,32.90305816,32.85318163,32.776262,32.61937561,32.44522904,32.33820181,32.27994359,32.17796759,31.99567294,31.79177651,31.62314568,31.4660895,31.26564251,31.02329337,30.79890263,30.64032216,30.54579171,30.47958319,30.37540016,30.14392639,29.74516692,29.26225958,28.85045893,28.58762475,28.42389365,28.32575728,28.41285963,28.84382193,29.56736719,30.30792206,30.84926314,31.2502003,31.69983728,32.21128443,32.58803031,32.69970822,32.67285328,32.72883233,32.89980674,33.02218704,32.99381871,32.9247874,32.97405498,33.13157212,33.25101208,33.24515153,33.18552518,33.18554911,33.24994477,33.29524548,33.25359233,33.12459261,32.96034533,32.83812816,32.83236475
0.97,15.45908319,15.39683573,15.384481,15.41757529,15.45863274,15.49722475,15.58916882,15.81129317,16.17992115,16.63172613,17.09543435,17.55687779,18.02278072,18.45437226,18.79516891,19.06598679,19.37615312,19.80561368,20.29633885,20.69733626,20.91674375,20.99632178,21.04383068,21.13441381,21.28540408,21.47970271,21.66210883,21.73116773,21.60817654,21.3453437,21.13098354,21.15397131,21.45134361,21.89954089,22.35761812,22.77704869,23.15967379,23.46516003,23.61780509,23.59883585,23.47988697,23.35278394,23.25267977,23.15797211,23.04309841,22.90596386,22.75116353,22.57425951,22.36859796,22.12946714,21.84578722,21.50661252,21.12609793,20.74281837,20.37743773,20.01020969,19.62643139,19.26304524,18.95487714,18.62964447,18.14216072,17.50563976,17.07598619,17.37477135,18.60520993,20.38112486,22.02260362,23.08681299,23.59962421,23.85223671,24.05015253,24.19414101,24.23494816,24.214687,24.21680286,24.25089242,24.26372677,24.24374716,24.24668284,24.308322,24.38586185,24.41923089,24.41606876,24.43495565,24.49828499,24.56586591,24.59881431,24.60823146,24.62297509,24.64091156,24.6429829,24.63737554,24.65192495,24.68449533,24.69780924,24.6741608,24.64310561,24.6340635,24.62676582,24.58377195,24.51870671,24.49119126,24.52745793,24.58004454,24.58863742,24.55384803,24.52154794,24.51215133,24.50233427,24.47560949,24.44982135,24.43765441,24.41469495,24.35752483,24.29224116,24.26526844,24.27135768,24.25374868,24.18693098,24.12210013,24.11815388,24.15007932,24.1329194,24.03077791,23.90221384,23.82487874,23.80459315,23.7884389,23.74001115,23.66329633,23.56831661,23.45762529,23.35439472,23.30074185,23.29907154,23.28537379,23.20133291,23.07399177,22.9767275,22.91400269,22.80063022,22.58249409,22.3304486,22.17131574,22.15116471,22.21663106,22.32528888,22.50444871,22.77074333,23.05558484,23.2707339,23.42354953,23.60124145,23.83505208,24.04674361,24.15687641,24.20021157,24.27807985,24.40677559,24.48395938,24.42422981,24.27889538,24.18067866,24.19703343,24.2830668,24.36187337,24.41091025,24.44622224,24.45466807,24.40262144,24.30728964,24.25397557,24.31232536,24.44288386,24.51091974
1.02,19.78410075,19.64533686,19.69368583,19.90066263,20.1014406,20.20788448,20.32352374,20.59290316,21.00843489,21.44753419,21.87422883,22.37882038,22.97250789,23.4718585,23.7036214,23.76644375,23.94233572,24.34005513,24.75433394,24.94990714,24.97987499,25.0840116,25.33247805,25.54533606,25.60169194,25.64523055,25.82729585,25.95871068,25.65919235,24.88884817,24.12987357,23.93440661,24.36217571,24.98624235,25.45239555,25.84008543,26.40006067,27.09686387,27.59671865,27.69919149,27.5740301,27.50843514,27.56394007,27.58407106,27.47401351,27.32718889,27.26051763,27.24170341,27.15275646,26.96463017,26.7557695,26.57754831,26.38851104,26.13956755,25.85797362,25.60471717,25.390548,25.17893813,24.94283534,24.67043462,24.34496844,24.00314076,23.82728865,24.07737244,24.83109927,25.82980346,26.67132357,27.14303424,27.33083553,27.43141931,27.52346198,27.5624715,27.5344451,27.50946991,27.53662045,27.57044523,27.55133418,27.50457984,27.50056975,27.5442775,27.57128164,27.5554344,27.55270971,27.60912644,27.67903336,27.68864149,27.64916698,27.64170113,27.69363717,27.73608281,27.70851186,27.64753801,27.62550139,27.63904441,27.62383606,27.56834997,27.54000624,27.57692647,27.61606389,27.58067143,27.49637975,27.4562278,27.48524047,27.50764502,27.46635358,27.40844499,27.40623314,27.44071529,27.43103106,27.36572589,27.32859179,27.37287802,27.43540591,27.42249808,27.3412552,27.28408827,27.29209872,27.30483892,27.2628379,27.19716126,27.17447573,27.18943755,27.17497175,27.11073449,27.05753794,27.06220399,27.07865185,27.03000596,26.91967489,26.83029096,26.81262072,26.82258372,26.78809146,26.6989342,26.60347469,26.53963948,26.5030309,26.47312161,26.43492449,26.37291814,26.27191039,26.1320503,25.9610195,25.7518384,25.50670326,25.29699474,25.24850251,25.40698263,25.64253139,25.76757764,25.75720565,25.78601648,26.00542709,26.33042915,26.53124142,26.51706315,26.43559398,26.46779533,26.60063839,26.67755035,26.63067928,26.56511215,26.59303877,26.67042165,26.66560565,26.54964726,26.44801234,26.48362966,26.6273572,26.74197604,26.7306075,26.62605794,26.54643888,26.56583394,26.64567053
1.29,31.17898096,30.9336676,30.8568231,30.88720813,30.90163816,30.87321094,30.92658888,31.19665231,31.67240427,32.22286471,32.76740702,33.34544438,33.98232813,34.57561081,35.00025193,35.28958266,35.60796888,36.0325518,36.44885059,36.71296142,36.84931345,36.99711354,37.19978963,37.35978353,37.42221436,37.48419574,37.62379659,37.69152325,37.42517557,36.80110144,36.1604954,35.93371049,36.26613578,36.95086565,37.71079146,38.43514624,39.10950864,39.64421305,39.90079593,39.86832405,39.69964917,39.55191381,39.4521475,39.33970145,39.18844091,39.03040301,38.88162909,38.70763391,38.47464241,38.19051127,37.87235904,37.51172326,37.10321047,36.67989538,36.28143409,35.90399994,35.5235421,35.15200159,34.80376563,34.39991689,33.81086439,33.09755346,32.67405407,33.0649877,34.38112681,36.11321214,37.54921963,38.34529299,38.66447496,38.84277814,39.01582642,39.1064855,39.07028176,39.00608661,39.01704785,39.07269405,39.0809203,39.03674175,39.01984968,39.0654839,39.11615689,39.11967615,39.10891672,39.14223409,39.20796741,39.24630674,39.24715444,39.26199074,39.31067992,39.33692103,39.29223152,39.21987583,39.20348689,39.24927809,39.27678447,39.2329251,39.16076784,39.12831973,39.13041366,39.11003326,39.0540331,39.01101291,39.01068849,39.01494785,38.97826184,38.91966973,38.89293555,38.90124779,38.88794188,38.82093289,38.74457634,38.72356607,38.76191551,38.80462858,38.80676577,38.77133315,38.72049447,38.66352932,38.60600728,38.56515839,38.55220743,38.54674202,38.51302552,38.44383511,38.3718003,38.33211511,38.32432062,38.31577229,38.27106505,38.17690478,38.05093544,37.92975952,37.83996191,37.77157842,37.68875103,37.58219068,37.4965812,37.47925144,37.50455528,37.47847565,37.3341697,37.0960646,36.83266363,36.58441316,36.37743513,36.2819156,36.38005158,36.65090911,36.94839259,37.14645203,37.2740536,37.45075705,37.70604738,37.9301451,38.02420863,38.02728747,38.04069178,38.08910714,38.12175537,38.12079861,38.13272178,38.16842533,38.16198842,38.08775822,38.04648046,38.1530538,38.35199384,38.45383612,38.36987102,38.21119072,38.12421397,38.09984508,38.04028011,37.95185902,37.94285749
1.81,14.98130519,14.87551126,14.85182642,14.93124935,15.05478477,15.16814408,15.30280307,15.53735309,15.8913687,16.29944242,16.70109083,17.10848608,17.54257549,17.94921672,18.25060149,18.47370682,18.75155626,19.16257903,19.61419252,19.93948784,20.09075005,20.17291875,20.29245907,20.44367824,20.57187967,20.68100953,20.79742411,20.85335287,20.714014,20.36509758,20.00830528,19.91333639,20.17548922,20.65191781,21.14550454,21.58310498,21.98089724,22.30960767,22.48137065,22.46818179,22.3554223,22.25024151,22.17779145,22.09432708,21.97596624,21.84879919,21.73436334,21.60792667,21.42908316,21.18910415,20.90740151,20.60129187,20.28224132,19.96612552,19.65986908,19.34813951,19.02377423,18.72010502,18.4596458,18.16008364,17.67472147,17.02047484,16.55180824,16.77549272,17.87253197,19.45154052,20.86739282,21.74079384,22.14352282,22.35592898,22.53281847,22.64475646,22.66093433,22.65216104,22.69117324,22.74666829,22.74932578,22.71537405,22.72832147,22.81021208,22.8851367,22.89435694,22.88356586,22.92854439,23.01595154,23.06410481,23.05064628,23.04791368,23.11025603,23.18690462,23.1969242,23.15228703,23.14233121,23.20223693,23.26318292,23.25614944,23.20872627,23.19432576,23.2192268,23.2226433,23.18129152,23.15015424,23.17935011,23.23776863,23.26064089,23.24254289,23.23242487,23.24692845,23.24432276,23.20109384,23.16384189,23.18625966,23.24569326,23.26986425,23.23869739,23.21168192,23.23841568,23.28501978,23.2813404,23.21456328,23.13929414,23.10086105,23.08756341,23.06723146,23.03615517,23.00982372,22.98741433,22.95608411,22.91863717,22.88722388,22.85219813,22.78672665,22.69059414,22.60269839,22.55336491,22.52502698,22.48401256,22.43204907,22.39305987,22.35587238,22.26858755,22.10340695,21.89607545,21.70624886,21.57064459,21.51998157,21.60676726,21.85464266,22.18283937,22.44937888,22.59907132,22.72540581,22.94454602,23.23512576,23.46642791,23.57622835,23.64385716,23.75838539,23.87601748,23.87960102,23.76123048,23.66796614,23.7363406,23.93473482,24.11374927,24.17852509,24.1662104,24.16234826,24.19380163,24.22804558,24.23503651,24.21284237,24.17682568,24.14705701,24.13730992
2.62,15.03076866,14.8778872,14.84218621,14.91252494,14.9700505,14.95535196,14.96774081,15.1478888,15.51123853,15.9617839,16.45655331,17.05501291,17.75478666,18.38128714,18.75288031,18.91951138,19.1086049,19.42402882,19.72132623,19.85224523,19.9260325,20.17464661,20.59433748,20.9024991,20.93440972,20.92796993,21.22787125,21.75718388,22.00707883,21.64080876,20.9390836,20.53123354,20.74634155,21.33744961,21.87015315,22.2138371,22.53702004,22.94106342,23.28128526,23.38957735,23.31891365,23.26310516,23.31317358,23.39395517,23.42681712,23.44925786,23.53476069,23.66531413,23.74735645,23.72659865,23.62139434,23.44989293,23.1884389,22.82115212,22.38577829,21.93930335,21.50353125,21.0690184,20.62723059,20.1730149,19.71888069,19.38113469,19.44157859,20.19752196,21.64314896,23.35390744,24.7829501,25.6613465,26.09880424,26.3442153,26.5097623,26.55968662,26.49299327,26.41694833,26.42107819,26.46415333,26.45265208,26.38568641,26.35307026,26.4043568,26.48765173,26.53708341,26.5598433,26.59588317,26.63478089,26.63287908,26.59955238,26.60239995,26.67068514,26.74624497,26.76555443,26.74971062,26.7635369,26.80714899,26.81190705,26.75251655,26.7038081,26.74899214,26.86674578,26.96106212,26.98533358,26.98333472,27.00618859,27.0390039,27.03829095,27.00247757,26.96134056,26.9156922,26.83749101,26.73464659,26.66735671,26.67354346,26.7110056,26.70690508,26.64779872,26.58475996,26.55209765,26.5236721,26.46469425,26.39062796,26.34376153,26.32671886,26.29551707,26.21916564,26.11755389,26.030769,25.97118138,25.92170076,25.86387872,25.7887233,25.69103711,25.57325091,25.45263884,25.34910943,25.26825157,25.21094153,25.19211842,25.22098203,25.25589592,25.21802625,25.08124291,24.91809824,24.81736612,24.77809306,24.74447948,24.74401643,24.90605823,25.28777743,25.73608407,26.02074061,26.09849301,26.16019058,26.39305152,26.75787546,27.06612721,27.22601271,27.31434768,27.41825661,27.50690608,27.513883,27.47640643,27.50142988,27.60884377,27.6985881,27.69484047,27.65497713,27.69108686,27.81267514,27.91415938,27.91284135,27.83575252,27.77040606,27.76980632,27.81805394,27.85676977
3.69,11.29745866,11.19377012,11.1933823,11.28524162,11.37106245,11.39561552,11.42904436,11.57698449,11.8460695,12.15026777,12.44355617,12.77230858,13.15768621,13.50315638,13.69849027,13.7838605,13.91474223,14.15340803,14.38291774,14.48344459,14.52293152,14.66749019,14.9301304,15.13276833,15.16538732,15.16708913,15.32671087,15.55802725,15.53998638,15.1270528,14.58756633,14.35345686,14.57785104,15.02373619,15.40155028,15.68395258,16.01698317,16.42307219,16.72896036,16.80221362,16.7265738,16.67932244,16.71541268,16.74767544,16.71127529,16.65413363,16.64434095,16.66058128,16.62802345,16.52883908,16.41342571,16.3102991,16.18421443,16.00042439,15.78657545,15.5976642,15.44440201,15.29029619,15.10634657,14.89673803,14.68578127,14.53164233,14.55903696,14.90619615,15.57185962,16.34666849,16.96210987,17.30462311,17.46301693,17.5781037,17.68446584,17.72964485,17.70411993,17.67927005,17.71108747,17.76568265,17.78069893,17.76206732,17.77119274,17.83108594,17.89506595,17.91956742,17.92376853,17.95041481,17.99879308,18.03480893,18.05281233,18.08376337,18.13819458,18.18127824,18.18441688,18.17116275,18.18332757,18.22023136,18.24747347,18.25653498,18.27450574,18.30964744,18.32787506,18.30898919,18.29189351,18.32422606,18.38432942,18.40001446,18.35180787,18.31056549,18.34539346,18.42916896,18.4767107,18.45975263,18.43496897,18.45536118,18.50177123,18.52548486,18.52290922,18.52860933,18.5518563,18.56630481,18.5621435,18.56487818,18.58468402,18.58580614,18.5423864,18.49703708,18.51503198,18.5823442,18.60392388,18.52498055,18.41103155,18.3719738,18.42309077,18.47093836,18.44017077,18.36384423,18.32918114,18.36546628,18.42103271,18.43683011,18.40448777,18.35588092,18.32494005,18.32102304,18.31556404,18.25207438,18.10193202,17.9291647,17.8653439,17.97669223,18.17568685,18.31710889,18.37163432,18.45158153,18.64944434,18.90071319,19.0621214,19.09277532,19.09396917,19.16798373,19.29472212,19.38251458,19.39181147,19.36513178,19.35893048,19.39478852,19.47199293,19.5667068,19.61253656,19.5487506,19.41633853,19.35371425,19.44657551,19.60481138,19.66170441,19.5881426,19.51496012
3.34,12.80636901,12.65112447,12.61640137,12.70347269,12.8000852,12.83505254,12.88005246,13.0490561,13.34179657,13.65388012,13.93725104,14.26074902,14.66383334,15.0374627,15.24207253,15.31107457,15.42734439,15.6821416,15.95395512,16.09014469,16.13479855,16.25989261,16.49793368,16.6797558,16.69331485,16.68150709,16.84575693,17.10259708,17.11046588,16.69588689,16.12047166,15.84006921,16.04489955,16.51841881,16.9591541,17.30733428,17.68058492,18.09555565,18.39608492,18.46935655,18.40119568,18.35525124,18.37625964,18.38335488,18.32525297,18.25261521,18.22389715,18.21139666,18.14684772,18.02109177,17.88115285,17.74653874,17.58584741,17.38187412,17.16989858,16.98579173,16.8125373,16.61157278,16.38323228,16.15969328,15.96104045,15.81908846,15.84585386,16.19403427,16.87916167,17.68327105,18.3129453,18.64414573,18.77906505,18.87744751,18.9793427,19.02551776,19.00034327,18.97297802,18.99561866,19.03124218,19.02246285,18.98434687,18.97784093,19.01459922,19.04554339,19.0468412,19.05880003,19.11314827,19.16876142,19.16816533,19.13265065,19.14255838,19.22036532,19.29034702,19.28252306,19.23019604,19.22001002,19.26977318,19.31233809,19.30012295,19.26730044,19.26537233,19.28273274,19.27450644,19.24502347,19.24431646,19.28346824,19.30556074,19.26686133,19.20578607,19.19166067,19.22757318,19.24943796,19.22075423,19.18240595,19.18984413,19.23585376,19.26567024,19.25040511,19.21207256,19.18052618,19.15963997,19.14249093,19.13235903,19.13213094,19.1305881,19.1197661,19.1110356,19.11409012,19.11305477,19.08669701,19.04550115,19.02034687,19.01069467,18.97719076,18.90495537,18.84078785,18.83407613,18.86035956,18.84914986,18.78604312,18.73402583,18.73721909,18.75249854,18.71630263,18.63857848,18.57106346,18.50777354,18.3971922,18.26566541,18.23919998,18.37864877,18.5559238,18.59695962,18.52627956,18.55934691,18.81745702,19.14685593,19.30992228,19.27887059,19.23572251,19.30287076,19.39451267,19.39681457,19.36643099,19.43210511,19.56714728,19.60196314,19.47989547,19.36822152,19.42926105,19.57592306,19.59186524,19.45366672,19.38896649,19.55984159,19.8176112,19.88823093,19.71542649
